,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167
10,66415,64357,63260,62743,63238,64878,68630,75014,84899,89038,90564,90503,87340,89303,89758,89481,89824,87333,84111,80588,77300,73692,72582,74455,71608,69670,68467,67935,68101,69301,72617,77928,86120,88089,86670,83758,79558,81987,84014,85429,86635,84736,82125,79067,76045,72710,71518,73255,70389,68240,66860,66064,66177,67252,70123,75242,82971,84235,82359,78997,73791,75361,76029,77230,79665,78546,76696,74163,71883,69255,68252,69914,66746,64775,63565,63330,63888,65322,68523,73841,80757,80501,78686,75711,70958,72641,73520,74674,77159,77206,76347,74083,71710,68953,67891,69110,66149,63620,62130,61644,62022,63299,66269,71082,78032,78869,78279,76936,73618,76161,76666,76674,77067,75314,73908,71808,70103,67927,67006,69025,65871,63503,62090,61578,61947,62762,64049,65843,68162,67499,67033,64903,61516,62137,62819,64335,66905,68347,69347,68524,67318,65729,66025,67841,65365,62845,61468,60746,60880,61500,62097,62496,62142,59172,57975,56686,55375,55638,56808,59470,63246,66585,68310,67743,66517,65138,65321,65885
11,71608,69670,68467,67935,68101,69301,72617,77928,86120,88089,86670,83758,79558,81987,84014,85429,86635,84736,82125,79067,76045,72710,71518,73255,70389,68240,66860,66064,66177,67252,70123,75242,82971,84235,82359,78997,73791,75361,76029,77230,79665,78546,76696,74163,71883,69255,68252,69914,66746,64775,63565,63330,63888,65322,68523,73841,80757,80501,78686,75711,70958,72641,73520,74674,77159,77206,76347,74083,71710,68953,67891,69110,66149,63620,62130,61644,62022,63299,66269,71082,78032,78869,78279,76936,73618,76161,76666,76674,77067,75314,73908,71808,70103,67927,67006,69025,65871,63503,62090,61578,61947,62762,64049,65843,68162,67499,67033,64903,61516,62137,62819,64335,66905,68347,69347,68524,67318,65729,66025,67841,65365,62845,61468,60746,60880,61500,62097,62496,62142,59172,57975,56686,55375,55638,56808,59470,63246,66585,68310,67743,66517,65138,65321,65885,63481,61426,60035,59848,60284,62258,66160,72762,82242,85910,86673,85407,81010,82626,83540,83140,84210,83005,81557,78688,75837,72489,71399,73003
12,70389,68240,66860,66064,66177,67252,70123,75242,82971,84235,82359,78997,73791,75361,76029,77230,79665,78546,76696,74163,71883,69255,68252,69914,66746,64775,63565,63330,63888,65322,68523,73841,80757,80501,78686,75711,70958,72641,73520,74674,77159,77206,76347,74083,71710,68953,67891,69110,66149,63620,62130,61644,62022,63299,66269,71082,78032,78869,78279,76936,73618,76161,76666,76674,77067,75314,73908,71808,70103,67927,67006,69025,65871,63503,62090,61578,61947,62762,64049,65843,68162,67499,67033,64903,61516,62137,62819,64335,66905,68347,69347,68524,67318,65729,66025,67841,65365,62845,61468,60746,60880,61500,62097,62496,62142,59172,57975,56686,55375,55638,56808,59470,63246,66585,68310,67743,66517,65138,65321,65885,63481,61426,60035,59848,60284,62258,66160,72762,82242,85910,86673,85407,81010,82626,83540,83140,84210,83005,81557,78688,75837,72489,71399,73003,70296,68321,67166,66696,67239,68622,71942,77321,84965,85348,83864,81109,76402,78006,78856,80275,83221,83393,82105,79413,76608,73081,71708,73434
13,66746,64775,63565,63330,63888,65322,68523,73841,80757,80501,78686,75711,70958,72641,73520,74674,77159,77206,76347,74083,71710,68953,67891,69110,66149,63620,62130,61644,62022,63299,66269,71082,78032,78869,78279,76936,73618,76161,76666,76674,77067,75314,73908,71808,70103,67927,67006,69025,65871,63503,62090,61578,61947,62762,64049,65843,68162,67499,67033,64903,61516,62137,62819,64335,66905,68347,69347,68524,67318,65729,66025,67841,65365,62845,61468,60746,60880,61500,62097,62496,62142,59172,57975,56686,55375,55638,56808,59470,63246,66585,68310,67743,66517,65138,65321,65885,63481,61426,60035,59848,60284,62258,66160,72762,82242,85910,86673,85407,81010,82626,83540,83140,84210,83005,81557,78688,75837,72489,71399,73003,70296,68321,67166,66696,67239,68622,71942,77321,84965,85348,83864,81109,76402,78006,78856,80275,83221,83393,82105,79413,76608,73081,71708,73434,70412,68255,66976,66517,66818,68071,71340,76650,83468,83109,81176,78031,72981,74564,75115,76249,78833,78552,77684,75598,73356,70473,69246,70789
14,66149,63620,62130,61644,62022,63299,66269,71082,78032,78869,78279,76936,73618,76161,76666,76674,77067,75314,73908,71808,70103,67927,67006,69025,65871,63503,62090,61578,61947,62762,64049,65843,68162,67499,67033,64903,61516,62137,62819,64335,66905,68347,69347,68524,67318,65729,66025,67841,65365,62845,61468,60746,60880,61500,62097,62496,62142,59172,57975,56686,55375,55638,56808,59470,63246,66585,68310,67743,66517,65138,65321,65885,63481,61426,60035,59848,60284,62258,66160,72762,82242,85910,86673,85407,81010,82626,83540,83140,84210,83005,81557,78688,75837,72489,71399,73003,70296,68321,67166,66696,67239,68622,71942,77321,84965,85348,83864,81109,76402,78006,78856,80275,83221,83393,82105,79413,76608,73081,71708,73434,70412,68255,66976,66517,66818,68071,71340,76650,83468,83109,81176,78031,72981,74564,75115,76249,78833,78552,77684,75598,73356,70473,69246,70789,67488,65112,63800,63265,63646,65013,68033,72967,79980,79815,78985,78637,75947,79046,80096,79945,80435,78514,76783,74042,71490,68713,67515,68956
15,65871,63503,62090,61578,61947,62762,64049,65843,68162,67499,67033,64903,61516,62137,62819,64335,66905,68347,69347,68524,67318,65729,66025,67841,65365,62845,61468,60746,60880,61500,62097,62496,62142,59172,57975,56686,55375,55638,56808,59470,63246,66585,68310,67743,66517,65138,65321,65885,63481,61426,60035,59848,60284,62258,66160,72762,82242,85910,86673,85407,81010,82626,83540,83140,84210,83005,81557,78688,75837,72489,71399,73003,70296,68321,67166,66696,67239,68622,71942,77321,84965,85348,83864,81109,76402,78006,78856,80275,83221,83393,82105,79413,76608,73081,71708,73434,70412,68255,66976,66517,66818,68071,71340,76650,83468,83109,81176,78031,72981,74564,75115,76249,78833,78552,77684,75598,73356,70473,69246,70789,67488,65112,63800,63265,63646,65013,68033,72967,79980,79815,78985,78637,75947,79046,80096,79945,80435,78514,76783,74042,71490,68713,67515,68956,65738,63156,61788,61230,61695,63070,65879,70398,77484,79367,79026,77749,74568,76940,77628,77201,77339,75177,73222,70819,68922,66134,65328,67155
16,65365,62845,61468,60746,60880,61500,62097,62496,62142,59172,57975,56686,55375,55638,56808,59470,63246,66585,68310,67743,66517,65138,65321,65885,63481,61426,60035,59848,60284,62258,66160,72762,82242,85910,86673,85407,81010,82626,83540,83140,84210,83005,81557,78688,75837,72489,71399,73003,70296,68321,67166,66696,67239,68622,71942,77321,84965,85348,83864,81109,76402,78006,78856,80275,83221,83393,82105,79413,76608,73081,71708,73434,70412,68255,66976,66517,66818,68071,71340,76650,83468,83109,81176,78031,72981,74564,75115,76249,78833,78552,77684,75598,73356,70473,69246,70789,67488,65112,63800,63265,63646,65013,68033,72967,79980,79815,78985,78637,75947,79046,80096,79945,80435,78514,76783,74042,71490,68713,67515,68956,65738,63156,61788,61230,61695,63070,65879,70398,77484,79367,79026,77749,74568,76940,77628,77201,77339,75177,73222,70819,68922,66134,65328,67155,63772,61232,59775,59183,59395,60245,61336,62496,64935,65119,65370,64683,62771,63546,63708,63712,63760,63720,64352,63434,62342,60896,60952,62533
17,63481,61426,60035,59848,60284,62258,66160,72762,82242,85910,86673,85407,81010,82626,83540,83140,84210,83005,81557,78688,75837,72489,71399,73003,70296,68321,67166,66696,67239,68622,71942,77321,84965,85348,83864,81109,76402,78006,78856,80275,83221,83393,82105,79413,76608,73081,71708,73434,70412,68255,66976,66517,66818,68071,71340,76650,83468,83109,81176,78031,72981,74564,75115,76249,78833,78552,77684,75598,73356,70473,69246,70789,67488,65112,63800,63265,63646,65013,68033,72967,79980,79815,78985,78637,75947,79046,80096,79945,80435,78514,76783,74042,71490,68713,67515,68956,65738,63156,61788,61230,61695,63070,65879,70398,77484,79367,79026,77749,74568,76940,77628,77201,77339,75177,73222,70819,68922,66134,65328,67155,63772,61232,59775,59183,59395,60245,61336,62496,64935,65119,65370,64683,62771,63546,63708,63712,63760,63720,64352,63434,62342,60896,60952,62533,59645,57194,55840,55339,55734,56512,57185,57361,57004,54526,53955,52535,51810,52498,52331,53892,57034,59988,62157,61913,61057,60083,60259,60776
18,70296,68321,67166,66696,67239,68622,71942,77321,84965,85348,83864,81109,76402,78006,78856,80275,83221,83393,82105,79413,76608,73081,71708,73434,70412,68255,66976,66517,66818,68071,71340,76650,83468,83109,81176,78031,72981,74564,75115,76249,78833,78552,77684,75598,73356,70473,69246,70789,67488,65112,63800,63265,63646,65013,68033,72967,79980,79815,78985,78637,75947,79046,80096,79945,80435,78514,76783,74042,71490,68713,67515,68956,65738,63156,61788,61230,61695,63070,65879,70398,77484,79367,79026,77749,74568,76940,77628,77201,77339,75177,73222,70819,68922,66134,65328,67155,63772,61232,59775,59183,59395,60245,61336,62496,64935,65119,65370,64683,62771,63546,63708,63712,63760,63720,64352,63434,62342,60896,60952,62533,59645,57194,55840,55339,55734,56512,57185,57361,57004,54526,53955,52535,51810,52498,52331,53892,57034,59988,62157,61913,61057,60083,60259,60776,57931,55620,54655,54553,55335,57527,61556,67487,75047,74827,73319,70572,66809,68251,68274,69101,71796,72051,72147,70447,68668,66403,65251,66605
19,70412,68255,66976,66517,66818,68071,71340,76650,83468,83109,81176,78031,72981,74564,75115,76249,78833,78552,77684,75598,73356,70473,69246,70789,67488,65112,63800,63265,63646,65013,68033,72967,79980,79815,78985,78637,75947,79046,80096,79945,80435,78514,76783,74042,71490,68713,67515,68956,65738,63156,61788,61230,61695,63070,65879,70398,77484,79367,79026,77749,74568,76940,77628,77201,77339,75177,73222,70819,68922,66134,65328,67155,63772,61232,59775,59183,59395,60245,61336,62496,64935,65119,65370,64683,62771,63546,63708,63712,63760,63720,64352,63434,62342,60896,60952,62533,59645,57194,55840,55339,55734,56512,57185,57361,57004,54526,53955,52535,51810,52498,52331,53892,57034,59988,62157,61913,61057,60083,60259,60776,57931,55620,54655,54553,55335,57527,61556,67487,75047,74827,73319,70572,66809,68251,68274,69101,71796,72051,72147,70447,68668,66403,65251,66605,63269,60853,59678,59224,59687,61221,64409,68914,76518,78892,79190,78616,75662,77282,77661,77476,77820,75725,74593,72333,70176,67293,66103,67662
