t,beta,y_true,avg_ensemble_pred,squared_error,overall_rmse,avg_base_pred_mae,avg_w_mae,avg_base_pred_mape,avg_w_mape,avg_base_pred_mase,avg_w_mase,avg_base_pred_mse,avg_w_mse,avg_base_pred_smape,avg_w_smape
0,1,63.79,53.6956137110556,101.89665303380286,23.7548093077395,46.43761050000006,0.8197054532747934,0.3886834254999997,3.4128056355797757e-20,86.72503199999996,0.17734166156885306,84.82885699999999,0.002952885156308418,21.129335999999988,4.432228891307484e-14
1,1,63.62,44.510755616830174,365.1631800739586,23.7548093077395,44.65379249999998,0.8197054532747934,0.07425140000000005,3.4128056355797757e-20,43.59772999999998,0.17734166156885306,59.638119000000046,0.002952885156308418,80.13310300000009,4.432228891307484e-14
2,1,64.25,53.226383345331385,121.52012414908727,23.7548093077395,52.761961500000005,0.8197054532747934,0.04041395999999998,3.4128056355797757e-20,54.82948500000004,0.17734166156885306,85.86985000000003,0.002952885156308418,61.78409849999994,4.432228891307484e-14
3,1,63.75,68.47991658398041,22.372110891412927,23.7548093077395,69.584515,0.8197054532747934,0.2733376439999998,3.4128056355797757e-20,63.22517749999998,0.17734166156885306,77.43346999999996,0.002952885156308418,-32.43244849999998,4.432228891307484e-14
4,1,63.14,62.399002690333276,0.5490761083959635,23.7548093077395,60.87069199999997,0.8197054532747934,0.13927471000000022,3.4128056355797757e-20,70.08100349999997,0.17734166156885306,25.291504499999984,0.002952885156308418,33.06802300000002,4.432228891307484e-14
5,1,63.52,65.47528475869208,3.823136697457108,23.7548093077395,68.42253750000005,0.8197054532747934,0.2987899499999998,3.4128056355797757e-20,51.54966299999995,0.17734166156885306,83.66554749999989,0.002952885156308418,32.04100049999995,4.432228891307484e-14
6,1,62.74,57.453974959792085,27.942078470542945,23.7548093077395,63.38331999999995,0.8197054532747934,-0.3485075994999997,3.4128056355797757e-20,30.067185500000033,0.17734166156885306,56.26946700000004,0.002952885156308418,94.77024999999996,4.432228891307484e-14
7,1,63.05,62.09717283428471,0.9078781538267358,23.7548093077395,60.83628875000008,0.8197054532747934,0.3600690399999995,3.4128056355797757e-20,68.22309300000005,0.17734166156885306,44.20711000000003,0.002952885156308418,21.745837500000004,4.432228891307484e-14
8,1,63.2,75.6651676396981,155.38038526544085,23.7548093077395,78.17981499999998,0.8197054532747934,-0.08567841900000005,3.4128056355797757e-20,64.41801149999996,0.17734166156885306,53.08359299999997,0.002952885156308418,-28.16752199999998,4.432228891307484e-14
9,1,62.89,41.17087679308997,471.72028636433674,23.7548093077395,37.42459950000005,0.8197054532747934,0.16133140600000018,3.4128056355797757e-20,58.25392899999998,0.17734166156885306,55.159590000000044,0.002952885156308418,39.887224000000046,4.432228891307484e-14
10,1,62.78,54.46222623029812,69.18534017687722,23.7548093077395,52.56529850000002,0.8197054532747934,-0.11741653250000005,3.4128056355797757e-20,62.21872799999996,0.17734166156885306,115.20657750000008,0.002952885156308418,30.763774499999972,4.432228891307484e-14
11,1,62.89,30.165980998256984,1070.861379680126,23.7548093077395,26.350878749999996,0.8197054532747934,-0.10067471799999994,3.4128056355797757e-20,47.34363800000001,0.17734166156885306,57.57845349999995,0.002952885156308418,32.512210000000024,4.432228891307484e-14
