iter,beta,bolt_rmse,w_mae,w_mape,w_mase,w_mse,w_smape
0,1.0,23.7548093077395,0.8197054532747944,3.41280563557978e-20,0.17734166156885298,0.002952885156308419,4.432228891307486e-14
1,1.0,23.7548093077395,0.8197054532747944,3.41280563557978e-20,0.17734166156885298,0.002952885156308419,4.432228891307486e-14
2,1.0,23.7548093077395,0.8197054532747944,3.41280563557978e-20,0.17734166156885298,0.002952885156308419,4.432228891307486e-14
3,1.0,23.7548093077395,0.8197054532747944,3.41280563557978e-20,0.17734166156885298,0.002952885156308419,4.432228891307486e-14
4,1.0,23.7548093077395,0.8197054532747944,3.41280563557978e-20,0.17734166156885298,0.002952885156308419,4.432228891307486e-14
5,1.0,23.7548093077395,0.8197054532747944,3.41280563557978e-20,0.17734166156885298,0.002952885156308419,4.432228891307486e-14
6,1.0,23.7548093077395,0.8197054532747944,3.41280563557978e-20,0.17734166156885298,0.002952885156308419,4.432228891307486e-14
7,1.0,23.7548093077395,0.8197054532747944,3.41280563557978e-20,0.17734166156885298,0.002952885156308419,4.432228891307486e-14
8,1.0,23.7548093077395,0.8197054532747944,3.41280563557978e-20,0.17734166156885298,0.002952885156308419,4.432228891307486e-14
9,1.0,23.7548093077395,0.8197054532747944,3.41280563557978e-20,0.17734166156885298,0.002952885156308419,4.432228891307486e-14
10,1.0,23.7548093077395,0.8197054532747944,3.41280563557978e-20,0.17734166156885298,0.002952885156308419,4.432228891307486e-14
11,1.0,23.7548093077395,0.8197054532747944,3.41280563557978e-20,0.17734166156885298,0.002952885156308419,4.432228891307486e-14
12,1.0,23.7548093077395,0.8197054532747944,3.41280563557978e-20,0.17734166156885298,0.002952885156308419,4.432228891307486e-14
13,1.0,23.7548093077395,0.8197054532747944,3.41280563557978e-20,0.17734166156885298,0.002952885156308419,4.432228891307486e-14
14,1.0,23.7548093077395,0.8197054532747944,3.41280563557978e-20,0.17734166156885298,0.002952885156308419,4.432228891307486e-14
15,1.0,23.7548093077395,0.8197054532747944,3.41280563557978e-20,0.17734166156885298,0.002952885156308419,4.432228891307486e-14
16,1.0,23.7548093077395,0.8197054532747944,3.41280563557978e-20,0.17734166156885298,0.002952885156308419,4.432228891307486e-14
17,1.0,23.7548093077395,0.8197054532747944,3.41280563557978e-20,0.17734166156885298,0.002952885156308419,4.432228891307486e-14
18,1.0,23.7548093077395,0.8197054532747944,3.41280563557978e-20,0.17734166156885298,0.002952885156308419,4.432228891307486e-14
19,1.0,23.7548093077395,0.8197054532747944,3.41280563557978e-20,0.17734166156885298,0.002952885156308419,4.432228891307486e-14
20,1.0,23.7548093077395,0.8197054532747944,3.41280563557978e-20,0.17734166156885298,0.002952885156308419,4.432228891307486e-14
21,1.0,23.7548093077395,0.8197054532747944,3.41280563557978e-20,0.17734166156885298,0.002952885156308419,4.432228891307486e-14
22,1.0,23.7548093077395,0.8197054532747944,3.41280563557978e-20,0.17734166156885298,0.002952885156308419,4.432228891307486e-14
23,1.0,23.7548093077395,0.8197054532747944,3.41280563557978e-20,0.17734166156885298,0.002952885156308419,4.432228891307486e-14
24,1.0,23.7548093077395,0.8197054532747944,3.41280563557978e-20,0.17734166156885298,0.002952885156308419,4.432228891307486e-14
25,1.0,23.7548093077395,0.8197054532747944,3.41280563557978e-20,0.17734166156885298,0.002952885156308419,4.432228891307486e-14
26,1.0,23.7548093077395,0.8197054532747944,3.41280563557978e-20,0.17734166156885298,0.002952885156308419,4.432228891307486e-14
27,1.0,23.7548093077395,0.8197054532747944,3.41280563557978e-20,0.17734166156885298,0.002952885156308419,4.432228891307486e-14
28,1.0,23.7548093077395,0.8197054532747944,3.41280563557978e-20,0.17734166156885298,0.002952885156308419,4.432228891307486e-14
29,1.0,23.7548093077395,0.8197054532747944,3.41280563557978e-20,0.17734166156885298,0.002952885156308419,4.432228891307486e-14
30,1.0,23.7548093077395,0.8197054532747944,3.41280563557978e-20,0.17734166156885298,0.002952885156308419,4.432228891307486e-14
31,1.0,23.7548093077395,0.8197054532747944,3.41280563557978e-20,0.17734166156885298,0.002952885156308419,4.432228891307486e-14
32,1.0,23.7548093077395,0.8197054532747944,3.41280563557978e-20,0.17734166156885298,0.002952885156308419,4.432228891307486e-14
33,1.0,23.7548093077395,0.8197054532747944,3.41280563557978e-20,0.17734166156885298,0.002952885156308419,4.432228891307486e-14
34,1.0,23.7548093077395,0.8197054532747944,3.41280563557978e-20,0.17734166156885298,0.002952885156308419,4.432228891307486e-14
35,1.0,23.7548093077395,0.8197054532747944,3.41280563557978e-20,0.17734166156885298,0.002952885156308419,4.432228891307486e-14
36,1.0,23.7548093077395,0.8197054532747944,3.41280563557978e-20,0.17734166156885298,0.002952885156308419,4.432228891307486e-14
37,1.0,23.7548093077395,0.8197054532747944,3.41280563557978e-20,0.17734166156885298,0.002952885156308419,4.432228891307486e-14
