t,y_true,avg_median_pred,squared_error,overall_rmse,avg_base_pred_mae,avg_base_pred_mape,avg_base_pred_mase,avg_base_pred_mse,avg_base_pred_smape
0,63.79,63.661579000000046,0.01649218838770043,33.10408260097602,46.43761050000006,0.3886834254999997,86.72503199999996,84.82885699999999,21.129335999999988
1,63.62,47.49322499999998,260.07283745011864,33.10408260097602,44.65379249999998,0.07425140000000005,43.59772999999998,59.638119000000046,80.13310300000009
2,64.25,54.073025000000015,103.57082015062468,33.10408260097602,52.761961500000005,0.04041395999999998,54.82948500000004,85.86985000000003,61.78409849999994
3,63.75,52.775555000000004,120.4384430580249,33.10408260097602,69.584515,0.2733376439999998,63.22517749999998,77.43346999999996,-32.43244849999998
4,63.14,42.27409699999999,435.38588253433676,33.10408260097602,60.87069199999997,0.13927471000000022,70.08100349999997,25.291504499999984,33.06802300000002
5,63.52,58.34577549999995,26.772603913544966,33.10408260097602,68.42253750000005,0.2987899499999998,51.54966299999995,83.66554749999989,32.04100049999995
6,62.74,52.728430000000074,100.23156747307699,33.10408260097602,63.38331999999995,-0.3485075994999997,30.067185500000033,56.26946700000004,94.77024999999996
7,63.05,36.38160300000002,711.203357856864,33.10408260097602,60.83628875000008,0.3600690399999995,68.22309300000005,44.20711000000003,21.745837500000004
8,63.2,42.75584449999999,417.96352530348696,33.10408260097602,78.17981499999998,-0.08567841900000005,64.41801149999996,53.08359299999997,-28.16752199999998
9,62.89,43.63890349999999,370.60469295243934,33.10408260097602,37.42459950000005,0.16133140600000018,58.25392899999998,55.159590000000044,39.887224000000046
10,62.78,45.57875349999997,295.88283915853407,33.10408260097602,52.56529850000002,-0.11741653250000005,62.21872799999996,115.20657750000008,30.763774499999972
11,62.89,30.109394000000005,1074.5680897118475,33.10408260097602,26.350878749999996,-0.10067471799999994,47.34363800000001,57.57845349999995,32.512210000000024
12,62.72,51.18292100000004,133.10422001893826,33.10408260097602,41.36973250000003,-0.02594868809999997,70.04989500000006,30.20111649999997,64.97570300000004
13,62.5,34.29179500000003,795.7028293220234,33.10408260097602,48.313402499999974,-0.24882094500000015,70.91944000000002,58.10102700000003,20.79786850000002
14,62.44,40.006020999999976,503.28335215568035,33.10408260097602,41.98842999999994,0.009693200000000013,48.957819000000015,25.91540280000002,42.315931000000035
15,62.78,21.34628035,1716.7530228782555,33.10408260097602,52.50514000000004,0.04909897249999997,83.86901149999996,38.77615534999997,-20.024362500000024
16,62.86,40.232780999999974,511.99106729507946,33.10408260097602,96.40578499999997,-0.24798961900000013,40.64722099999996,82.18734700000003,-10.21724949999999
17,62.65,57.58217800000007,25.682835289451,33.10408260097602,64.024625,0.16038290499999985,100.2133025,33.04556150000002,59.617712000000054
18,62.56,59.07608350000006,12.137683747836178,33.10408260097602,81.22929350000003,0.14883827500000008,65.46873999999994,71.62744800000007,26.721735999999982
19,62.7,54.145542499999955,73.17875617237385,33.10408260097602,68.83570250000001,-0.2670389100000001,54.145542499999955,70.57281499999999,-55.90369349999996
20,62.81,52.56867150000003,104.88483757356238,33.10408260097602,90.58476299999992,-0.277343665,39.91933599999997,28.306172999999966,55.80239799999997
21,61.8,50.42081449999996,129.48584528015255,33.10408260097602,45.510667000000005,0.1646950599999999,39.452619500000026,69.35536150000004,59.927282999999996
22,62.09,38.55915649999998,553.7006030025368,33.10408260097602,51.92107100000004,0.19015091500000011,84.59427499999997,38.55915649999998,16.655504500000003
23,62.16,60.73789399999999,2.022385041243742,33.10408260097602,58.41425149999999,0.0710860484999999,40.88425400000004,76.49861999999993,60.73789399999999
24,61.29,63.66260899999998,5.629269122504922,33.10408260097602,46.43864050000001,0.39164848000000035,86.72503199999996,84.82885699999999,21.129335999999988
25,62.59,47.49322499999998,227.9126200077957,33.10408260097602,44.648139999999984,0.07226877499999997,43.59772999999998,59.638119000000046,80.13310300000009
