t,beta,y_true,avg_ensemble_pred,squared_error,overall_rmse,avg_base_pred_mae,avg_w_mae,avg_base_pred_mape,avg_w_mape,avg_base_pred_mase,avg_w_mase,avg_base_pred_mse,avg_w_mse,avg_base_pred_smape,avg_w_smape
16,3,62.86,95.84680642952017,1088.129358151536,25.322184880929143,96.40578499999997,0.98997498405906,-0.24798961900000013,7.1447232843238135e-59,40.64722099999996,0.010024969661253323,82.18734700000003,4.627968747564158e-08,-10.21724949999999,1.5650106181456606e-40
17,3,62.65,64.38741396031705,3.018601967340269,25.322184880929143,64.024625,0.98997498405906,0.16038290499999985,7.1447232843238135e-59,100.2133025,0.010024969661253323,33.04556150000002,4.627968747564158e-08,59.617712000000054,1.5650106181456606e-40
18,3,62.56,81.0712939849476,342.6679541543717,25.322184880929143,81.22929350000003,0.98997498405906,0.14883827500000008,7.1447232843238135e-59,65.46873999999994,0.010024969661253323,71.62744800000007,4.627968747564158e-08,26.721735999999982,1.5650106181456606e-40
19,3,62.7,68.68843417207414,35.86133469564047,25.322184880929143,68.83570250000001,0.98997498405906,-0.2670389100000001,7.1447232843238135e-59,54.145542499999955,0.010024969661253323,70.57281499999999,4.627968747564158e-08,-55.90369349999996,1.5650106181456606e-40
20,3,62.81,90.0768407492169,743.4805295525422,25.322184880929143,90.58476299999992,0.98997498405906,-0.277343665,7.1447232843238135e-59,39.91933599999997,0.010024969661253323,28.306172999999966,4.627968747564158e-08,55.80239799999997,1.5650106181456606e-40
21,3,61.8,45.44993636113106,267.32455604684765,25.322184880929143,45.510667000000005,0.98997498405906,0.1646950599999999,7.1447232843238135e-59,39.452619500000026,0.010024969661253323,69.35536150000004,4.627968747564158e-08,59.927282999999996,1.5650106181456606e-40
22,3,62.09,52.24861826045071,96.85279754688555,25.322184880929143,51.92107100000004,0.98997498405906,0.19015091500000011,7.1447232843238135e-59,84.59427499999997,0.010024969661253323,38.55915649999998,4.627968747564158e-08,16.655504500000003,1.5650106181456606e-40
23,3,62.16,58.2385146438396,15.37804620183812,25.322184880929143,58.41425149999999,0.98997498405906,0.0710860484999999,7.1447232843238135e-59,40.88425400000004,0.010024969661253323,76.49861999999993,4.627968747564158e-08,60.73789399999999,1.5650106181456606e-40
24,3,61.29,46.84251212923614,208.72993223001004,25.322184880929143,46.43864050000001,0.98997498405906,0.39164848000000035,7.1447232843238135e-59,86.72503199999996,0.010024969661253323,84.82885699999999,4.627968747564158e-08,21.129335999999988,1.5650106181456606e-40
25,3,62.59,44.63761036534968,322.2882990729348,25.322184880929143,44.648139999999984,0.98997498405906,0.07226877499999997,7.1447232843238135e-59,43.59772999999998,0.010024969661253323,59.638119000000046,4.627968747564158e-08,80.13310300000009,1.5650106181456606e-40
26,3,61.75,52.781990475257906,80.42519483586491,25.322184880929143,52.761254999999935,0.98997498405906,0.03304281499999997,7.1447232843238135e-59,54.82948500000004,0.010024969661253323,85.86985000000003,4.627968747564158e-08,61.78409849999994,1.5650106181456606e-40
27,3,60.69,69.51837735803245,77.94027102368457,25.322184880929143,69.58210499999997,0.98997498405906,0.27722770499999977,7.1447232843238135e-59,63.22517749999998,0.010024969661253323,77.43346999999996,4.627968747564158e-08,-32.43244849999998,1.5650106181456606e-40
28,3,61.05,60.96218691790304,0.0077110033958198865,25.322184880929143,60.869846999999965,0.98997498405906,0.139209535,7.1447232843238135e-59,70.08100349999997,0.010024969661253323,25.291504499999984,4.627968747564158e-08,33.06802300000002,1.5650106181456606e-40
29,3,61.25,68.2503415024676,49.00478115117042,25.322184880929143,68.41946000000004,0.98997498405906,0.29557284250000027,7.1447232843238135e-59,51.54966299999995,0.010024969661253323,83.66554749999989,4.627968747564158e-08,32.04100049999995,1.5650106181456606e-40
30,3,61.35,63.042423337616576,2.8643019185777012,25.322184880929143,63.37634699999993,0.98997498405906,-0.34862892149999986,7.1447232843238135e-59,30.067185500000033,0.010024969661253323,56.26946700000004,4.627968747564158e-08,94.77024999999996,1.5650106181456606e-40
31,3,62.03,60.90922352963085,1.2561371602639402,25.322184880929143,60.835160499999944,0.98997498405906,0.3632438199999998,7.1447232843238135e-59,68.22309300000005,0.010024969661253323,44.20711000000003,4.627968747564158e-08,21.745837500000004,1.5650106181456606e-40
32,3,62.45,78.0386001081605,243.00442954582587,25.322184880929143,78.17653000000007,0.98997498405906,-0.0847475625,7.1447232843238135e-59,64.41801149999996,0.010024969661253323,53.08359299999997,4.627968747564158e-08,-28.16752199999998,1.5650106181456606e-40
33,3,61.96,37.62889596623178,592.0025789504708,25.322184880929143,37.42003599999999,0.98997498405906,0.16736142999999987,7.1447232843238135e-59,58.25392899999998,0.010024969661253323,55.159590000000044,4.627968747564158e-08,39.887224000000046,1.5650106181456606e-40
34,3,61.95,52.65859697481438,86.33018435398496,25.322184880929143,52.56178349999998,0.98997498405906,-0.11664016299999988,7.1447232843238135e-59,62.21872799999996,0.010024969661253323,115.20657750000008,4.627968747564158e-08,30.763774499999972,1.5650106181456606e-40
35,3,61.84,26.55584577592171,1244.9715500764112,25.322184880929143,26.345336999999976,0.98997498405906,-0.10144815499999994,7.1447232843238135e-59,47.34363800000001,0.010024969661253323,57.57845349999995,4.627968747564158e-08,32.512210000000024,1.5650106181456606e-40
36,3,61.87,41.65519158407045,408.6384361092476,25.322184880929143,41.36765349999998,0.98997498405906,-0.025101509500000004,7.1447232843238135e-59,70.04989500000006,0.010024969661253323,30.20111649999997,4.627968747564158e-08,64.97570300000004,1.5650106181456606e-40
37,3,62.0,48.53837354486855,181.21538681749496,25.322184880929143,48.31173149999997,0.98997498405906,-0.2519120400000001,7.1447232843238135e-59,70.91944000000002,0.010024969661253323,58.10102700000003,4.627968747564158e-08,20.79786850000002,1.5650106181456606e-40
38,3,61.35,42.05712058415927,372.2151372769777,25.322184880929143,41.98724149999999,0.98997498405906,0.007376069999999977,7.1447232843238135e-59,48.957819000000015,0.010024969661253323,25.91540280000002,4.627968747564158e-08,42.315931000000035,1.5650106181456606e-40
39,3,60.78,52.81812081127195,63.39150077772066,25.322184880929143,52.503685,0.98997498405906,0.050382418000000005,7.1447232843238135e-59,83.86901149999996,0.010024969661253323,38.77615534999997,4.627968747564158e-08,-20.024362500000024,1.5650106181456606e-40
40,3,61.16,95.84339596570005,1202.9379662980714,25.322184880929143,96.40234000000001,0.98997498405906,-0.24614782299999985,7.1447232843238135e-59,40.64722099999996,0.010024969661253323,82.18734700000003,4.627968747564158e-08,-10.21724949999999,1.5650106181456606e-40
41,3,61.51,64.38571813316926,8.269764435036135,25.322184880929143,64.02291199999995,0.98997498405906,0.1570263870000001,7.1447232843238135e-59,100.2133025,0.010024969661253323,33.04556150000002,4.627968747564158e-08,59.617712000000054,1.5650106181456606e-40
42,3,61.21,81.07211516919685,394.50365536305947,25.322184880929143,81.23012299999994,0.98997498405906,0.1487126349999999,7.1447232843238135e-59,65.46873999999994,0.010024969661253323,71.62744800000007,4.627968747564158e-08,26.721735999999982,1.5650106181456606e-40
43,3,61.38,68.68984488642631,53.43381664810071,25.322184880929143,68.83712749999997,0.98997498405906,-0.27222631999999986,7.1447232843238135e-59,54.145542499999955,0.010024969661253323,70.57281499999999,4.627968747564158e-08,-55.90369349999996,1.5650106181456606e-40
44,3,61.35,90.07424701475873,825.0824542243231,25.322184880929143,90.58214300000002,0.98997498405906,-0.2778176049999997,7.1447232843238135e-59,39.91933599999997,0.010024969661253323,28.306172999999966,4.627968747564158e-08,55.80239799999997,1.5650106181456606e-40
45,3,61.15,45.44506964410946,246.64488541101844,25.322184880929143,45.50575099999998,0.98997498405906,0.1629653549999999,7.1447232843238135e-59,39.452619500000026,0.010024969661253323,69.35536150000004,4.627968747564158e-08,59.927282999999996,1.5650106181456606e-40
46,3,61.05,52.24731149347176,77.4873115111282,25.322184880929143,51.91975099999995,0.98997498405906,0.19100746149999995,7.1447232843238135e-59,84.59427499999997,0.010024969661253323,38.55915649999998,4.627968747564158e-08,16.655504500000003,1.5650106181456606e-40
47,3,61.38,58.235727864259424,9.886453980485683,25.322184880929143,58.41143650000003,0.98997498405906,0.07455214350000004,7.1447232843238135e-59,40.88425400000004,0.010024969661253323,76.49861999999993,4.627968747564158e-08,60.73789399999999,1.5650106181456606e-40
48,3,60.76,46.84820696033193,193.5379388775944,25.322184880929143,46.44439300000002,0.98997498405906,0.39003025499999955,7.1447232843238135e-59,86.72503199999996,0.010024969661253323,84.82885699999999,4.627968747564158e-08,21.129335999999988,1.5650106181456606e-40
49,3,60.81,44.640538216365,261.4515387831878,25.322184880929143,44.65109750000005,0.98997498405906,0.07062537500000006,7.1447232843238135e-59,43.59772999999998,0.010024969661253323,59.638119000000046,4.627968747564158e-08,80.13310300000009,1.5650106181456606e-40
50,3,61.47,52.78575980500971,75.41604896604476,25.322184880929143,52.76506250000007,0.98997498405906,0.038509265000000056,7.1447232843238135e-59,54.82948500000004,0.010024969661253323,85.86985000000003,4.627968747564158e-08,61.78409849999994,1.5650106181456606e-40
51,3,61.99,69.51653303463716,56.648674255415735,25.322184880929143,69.580242,0.98997498405906,0.27141347300000035,7.1447232843238135e-59,63.22517749999998,0.010024969661253323,77.43346999999996,4.627968747564158e-08,-32.43244849999998,1.5650106181456606e-40
52,3,61.32,60.96661408603174,0.12488138850163097,25.322184880929143,60.87431900000001,0.98997498405906,0.13841372,7.1447232843238135e-59,70.08100349999997,0.010024969661253323,25.291504499999984,4.627968747564158e-08,33.06802300000002,1.5650106181456606e-40
53,3,61.61,68.25674911555193,44.17926569138327,25.322184880929143,68.42593249999994,0.98997498405906,0.2988501800000002,7.1447232843238135e-59,51.54966299999995,0.010024969661253323,83.66554749999989,4.627968747564158e-08,32.04100049999995,1.5650106181456606e-40
54,3,61.63,63.05502571916353,2.0306952560953198,25.322184880929143,63.38907699999995,0.98997498405906,-0.3455676944999999,7.1447232843238135e-59,30.067185500000033,0.010024969661253323,56.26946700000004,4.627968747564158e-08,94.77024999999996,1.5650106181456606e-40
55,3,62.73,60.90746038418425,3.321648982633187,25.322184880929143,60.833379499999985,0.98997498405906,0.3637641699999998,7.1447232843238135e-59,68.22309300000005,0.010024969661253323,44.20711000000003,4.627968747564158e-08,21.745837500000004,1.5650106181456606e-40
56,3,62.32,78.05290524668001,247.52431710361486,25.322184880929143,78.19097999999994,0.98997498405906,-0.08644234500000002,7.1447232843238135e-59,64.41801149999996,0.010024969661253323,53.08359299999997,4.627968747564158e-08,-28.16752199999998,1.5650106181456606e-40
57,3,62.6,37.63340629225921,623.330725175407,25.322184880929143,37.424592000000025,0.98997498405906,0.1644150409999999,7.1447232843238135e-59,58.25392899999998,0.010024969661253323,55.159590000000044,4.627968747564158e-08,39.887224000000046,1.5650106181456606e-40
58,3,63.58,52.670701893931934,119.01282511810652,25.322184880929143,52.57401100000002,0.98997498405906,-0.1154127349999999,7.1447232843238135e-59,62.21872799999996,0.010024969661253323,115.20657750000008,4.627968747564158e-08,30.763774499999972,1.5650106181456606e-40
59,3,66.36,26.558842925185967,1584.132153079416,25.322184880929143,26.348364499999974,0.98997498405906,-0.10075572000000008,7.1447232843238135e-59,47.34363800000001,0.010024969661253323,57.57845349999995,4.627968747564158e-08,32.512210000000024,1.5650106181456606e-40
60,3,63.77,41.66017858305259,488.8442233314526,25.322184880929143,41.372691000000025,0.98997498405906,-0.024322898800000006,7.1447232843238135e-59,70.04989500000006,0.010024969661253323,30.20111649999997,4.627968747564158e-08,64.97570300000004,1.5650106181456606e-40
61,3,63.82,48.541882016212,233.42087980152323,25.322184880929143,48.315275500000055,0.98997498405906,-0.24941210000000016,7.1447232843238135e-59,70.91944000000002,0.010024969661253323,58.10102700000003,4.627968747564158e-08,20.79786850000002,1.5650106181456606e-40
62,3,61.93,42.05669835982851,394.94813021094365,25.322184880929143,41.986814999999986,0.98997498405906,0.005927790000000013,7.1447232843238135e-59,48.957819000000015,0.010024969661253323,25.91540280000002,4.627968747564158e-08,42.315931000000035,1.5650106181456606e-40
63,3,61.86,52.82484571133868,81.63402404915645,25.322184880929143,52.510478000000006,0.98997498405906,0.05077949299999998,7.1447232843238135e-59,83.86901149999996,0.010024969661253323,38.77615534999997,4.627968747564158e-08,-20.024362500000024,1.5650106181456606e-40
64,3,62.26,95.85348876066253,1128.5225998838735,25.322184880929143,96.412535,0.98997498405906,-0.24677121899999985,7.1447232843238135e-59,40.64722099999996,0.010024969661253323,82.18734700000003,4.627968747564158e-08,-10.21724949999999,1.5650106181456606e-40
65,3,61.97,64.38837324607661,5.848523253109057,25.322184880929143,64.02559400000004,0.98997498405906,0.16020037300000012,7.1447232843238135e-59,100.2133025,0.010024969661253323,33.04556150000002,4.627968747564158e-08,59.617712000000054,1.5650106181456606e-40
66,3,59.8,81.0747628572917,452.61556709671106,25.322184880929143,81.23279749999995,0.98997498405906,0.1489615420000001,7.1447232843238135e-59,65.46873999999994,0.010024969661253323,71.62744800000007,4.627968747564158e-08,26.721735999999982,1.5650106181456606e-40
67,3,59.86,68.696883608563,78.09050112407834,25.322184880929143,68.84423749999998,0.98997498405906,-0.26956702000000016,7.1447232843238135e-59,54.145542499999955,0.010024969661253323,70.57281499999999,4.627968747564158e-08,-55.90369349999996,1.5650106181456606e-40
68,3,59.35,90.08182032338665,944.4448741749959,25.322184880929143,90.58979300000006,0.98997498405906,-0.2748206349999998,7.1447232843238135e-59,39.91933599999997,0.010024969661253323,28.306172999999966,4.627968747564158e-08,55.80239799999997,1.5650106181456606e-40
69,3,59.1,45.44934188115319,186.34042541913814,25.322184880929143,45.5100665,0.98997498405906,0.16137625999999997,7.1447232843238135e-59,39.452619500000026,0.010024969661253323,69.35536150000004,4.627968747564158e-08,59.927282999999996,1.5650106181456606e-40
70,3,59.02,52.24853906245199,45.852689428196435,25.322184880929143,51.920990999999965,0.98997498405906,0.19116023700000004,7.1447232843238135e-59,84.59427499999997,0.010024969661253323,38.55915649999998,4.627968747564158e-08,16.655504500000003,1.5650106181456606e-40
71,3,59.1,58.245295972480406,0.7305163663108498,25.322184880929143,58.42110150000004,0.98997498405906,0.0746286720000001,7.1447232843238135e-59,40.88425400000004,0.010024969661253323,76.49861999999993,4.627968747564158e-08,60.73789399999999,1.5650106181456606e-40
72,3,59.3,46.843739203228814,155.1584140304337,25.322184880929143,46.43987999999996,0.98997498405906,0.3905869929999997,7.1447232843238135e-59,86.72503199999996,0.010024969661253323,84.82885699999999,4.627968747564158e-08,21.129335999999988,1.5650106181456606e-40
73,3,59.11,44.64232660617377,209.31359109116195,25.322184880929143,44.652904000000014,0.98997498405906,0.07065192499999998,7.1447232843238135e-59,43.59772999999998,0.010024969661253323,59.638119000000046,4.627968747564158e-08,80.13310300000009,1.5650106181456606e-40
74,3,59.95,52.782368645701816,51.3749501680565,25.322184880929143,52.76163700000003,0.98997498405906,0.03625150000000004,7.1447232843238135e-59,54.82948500000004,0.010024969661253323,85.86985000000003,4.627968747564158e-08,61.78409849999994,1.5650106181456606e-40
75,3,59.98,69.52074834811934,91.02588777695813,25.322184880929143,69.58449999999996,0.98997498405906,0.27194125249999973,7.1447232843238135e-59,63.22517749999998,0.010024969661253323,77.43346999999996,4.627968747564158e-08,-32.43244849999998,1.5650106181456606e-40
76,3,60.07,60.96057820855381,0.7931300891168119,25.322184880929143,60.86822200000003,0.98997498405906,0.13865505500000005,7.1447232843238135e-59,70.08100349999997,0.010024969661253323,25.291504499999984,4.627968747564158e-08,33.06802300000002,1.5650106181456606e-40
77,3,59.82,68.25545224832285,71.15685978232665,25.322184880929143,68.42462250000004,0.98997498405906,0.2972164349999997,7.1447232843238135e-59,51.54966299999995,0.010024969661253323,83.66554749999989,4.627968747564158e-08,32.04100049999995,1.5650106181456606e-40
78,3,59.01,63.0488066963138,16.31197308819786,25.322184880929143,63.382794999999994,0.98997498405906,-0.34611507850000023,7.1447232843238135e-59,30.067185500000033,0.010024969661253323,56.26946700000004,4.627968747564158e-08,94.77024999999996,1.5650106181456606e-40
79,3,58.79,60.91147720768217,4.500661658174981,25.322184880929143,60.837437000000016,0.98997498405906,0.3637566900000001,7.1447232843238135e-59,68.22309300000005,0.010024969661253323,44.20711000000003,4.627968747564158e-08,21.745837500000004,1.5650106181456606e-40
80,3,59.49,78.04289659959116,344.2099099542822,25.322184880929143,78.18087000000006,0.98997498405906,-0.08602820449999993,7.1447232843238135e-59,64.41801149999996,0.010024969661253323,53.08359299999997,4.627968747564158e-08,-28.16752199999998,1.5650106181456606e-40
81,3,59.53,37.632537589210656,479.4988065713322,25.322184880929143,37.423714499999974,0.98997498405906,0.1665139130000001,7.1447232843238135e-59,58.25392899999998,0.010024969661253323,55.159590000000044,4.627968747564158e-08,39.887224000000046,1.5650106181456606e-40
82,3,59.44,52.66513575958411,45.898766868347465,25.322184880929143,52.56838849999999,0.98997498405906,-0.11539525899999989,7.1447232843238135e-59,62.21872799999996,0.010024969661253323,115.20657750000008,4.627968747564158e-08,30.763774499999972,1.5650106181456606e-40
83,3,59.27,26.558062973394748,1070.0708539812606,25.322184880929143,26.347576649999997,0.98997498405906,-0.10199017500000006,7.1447232843238135e-59,47.34363800000001,0.010024969661253323,57.57845349999995,4.627968747564158e-08,32.512210000000024,1.5650106181456606e-40
84,3,59.79,41.65687058164332,328.810415705625,25.322184880929143,41.3693495,0.98997498405906,-0.0240190455,7.1447232843238135e-59,70.04989500000006,0.010024969661253323,30.20111649999997,4.627968747564158e-08,64.97570300000004,1.5650106181456606e-40
85,3,60.37,48.54149295604333,139.9135536205166,25.322184880929143,48.314882499999996,0.98997498405906,-0.25005628000000024,7.1447232843238135e-59,70.91944000000002,0.010024969661253323,58.10102700000003,4.627968747564158e-08,20.79786850000002,1.5650106181456606e-40
86,3,60.64,42.05757448768943,345.30651523694627,25.322184880929143,41.98769999999997,0.98997498405906,0.005816370000000015,7.1447232843238135e-59,48.957819000000015,0.010024969661253323,25.91540280000002,4.627968747564158e-08,42.315931000000035,1.5650106181456606e-40
87,3,60.39,52.82132585528293,57.28481906980488,25.322184880929143,52.50692250000003,0.98997498405906,0.051038665500000004,7.1447232843238135e-59,83.86901149999996,0.010024969661253323,38.77615534999997,4.627968747564158e-08,-20.024362500000024,1.5650106181456606e-40
88,3,60.15,95.84728656738744,1274.296159334709,25.322184880929143,96.40627000000002,0.98997498405906,-0.24607250400000016,7.1447232843238135e-59,40.64722099999996,0.010024969661253323,82.18734700000003,4.627968747564158e-08,-10.21724949999999,1.5650106181456606e-40
89,3,60.12,64.38656060188076,18.203548483879004,25.322184880929143,64.02376300000003,0.98997498405906,0.15922897000000003,7.1447232843238135e-59,100.2133025,0.010024969661253323,33.04556150000002,4.627968747564158e-08,59.617712000000054,1.5650106181456606e-40
90,3,59.28,81.07057773804664,474.8293313575079,25.322184880929143,81.22857000000009,0.98997498405906,0.148574215,7.1447232843238135e-59,65.46873999999994,0.010024969661253323,71.62744800000007,4.627968747564158e-08,26.721735999999982,1.5650106181456606e-40
91,3,59.81,68.68779068833452,78.81514312230054,25.322184880929143,68.83505250000005,0.98997498405906,-0.2713278750000003,7.1447232843238135e-59,54.145542499999955,0.010024969661253323,70.57281499999999,4.627968747564158e-08,-55.90369349999996,1.5650106181456606e-40
92,3,59.55,90.07720703996105,931.9104162414695,25.322184880929143,90.58513299999998,0.98997498405906,-0.27496496500000017,7.1447232843238135e-59,39.91933599999997,0.010024969661253323,28.306172999999966,4.627968747564158e-08,55.80239799999997,1.5650106181456606e-40
93,3,60.0,45.44993091626865,211.70451034135488,25.322184880929143,45.510661499999976,0.98997498405906,0.1612866950000001,7.1447232843238135e-59,39.452619500000026,0.010024969661253323,69.35536150000004,4.627968747564158e-08,59.927282999999996,1.5650106181456606e-40
94,3,60.17,52.25000917530329,62.726225659410765,25.322184880929143,51.92247600000002,0.98997498405906,0.19198359750000007,7.1447232843238135e-59,84.59427499999997,0.010024969661253323,38.55915649999998,4.627968747564158e-08,16.655504500000003,1.5650106181456606e-40
95,3,60.18,58.240910383301035,3.76006972511621,25.322184880929143,58.41667149999999,0.98997498405906,0.07558794600000007,7.1447232843238135e-59,40.88425400000004,0.010024969661253323,76.49861999999993,4.627968747564158e-08,60.73789399999999,1.5650106181456606e-40
96,3,59.78,46.84136771815455,167.40817373635696,25.322184880929143,46.43748450000001,0.98997498405906,0.3889207725000003,7.1447232843238135e-59,86.72503199999996,0.010024969661253323,84.82885699999999,4.627968747564158e-08,21.129335999999988,1.5650106181456606e-40
97,3,59.66,44.64001352962348,225.5999889865576,25.322184880929143,44.650567500000015,0.98997498405906,0.07357562500000005,7.1447232843238135e-59,43.59772999999998,0.010024969661253323,59.638119000000046,4.627968747564158e-08,80.13310300000009,1.5650106181456606e-40
98,3,59.12,52.78399616457562,40.14493106734916,25.322184880929143,52.763281,0.98997498405906,0.042063055000000044,7.1447232843238135e-59,54.82948500000004,0.010024969661253323,85.86985000000003,4.627968747564158e-08,61.78409849999994,1.5650106181456606e-40
99,3,59.03,69.51753587929592,109.98843442385638,25.322184880929143,69.58125500000004,0.98997498405906,0.2711754259999997,7.1447232843238135e-59,63.22517749999998,0.010024969661253323,77.43346999999996,4.627968747564158e-08,-32.43244849999998,1.5650106181456606e-40
