t,beta,y_true,avg_ensemble_pred,squared_error,overall_rmse,avg_base_pred_mae,avg_w_mae,avg_base_pred_mape,avg_w_mape,avg_base_pred_mase,avg_w_mase,avg_base_pred_mse,avg_w_mse,avg_base_pred_smape,avg_w_smape
0,5,63.79,46.456697093173105,300.4434213980401,25.430065295049886,46.43761050000006,0.9995262393952357,0.3886834254999997,1.250439989820575e-97,86.72503199999996,0.00047376060415864595,84.82885699999999,6.063702162672503e-13,21.129335999999988,4.6197234654745444e-67
1,5,63.62,44.65329217920105,359.73596504229795,25.430065295049886,44.65379249999998,0.9995262393952357,0.07425140000000005,1.250439989820575e-97,43.59772999999998,0.00047376060415864595,59.638119000000046,6.063702162672503e-13,80.13310300000009,4.6197234654745444e-67
2,5,64.25,52.762941011202614,131.95252421211083,25.430065295049886,52.761961500000005,0.9995262393952357,0.04041395999999998,1.250439989820575e-97,54.82948500000004,0.00047376060415864595,85.86985000000003,6.063702162672503e-13,61.78409849999994,4.6197234654745444e-67
3,5,63.75,69.58150219642867,34.00641786695243,25.430065295049886,69.584515,0.9995262393952357,0.2733376439999998,1.250439989820575e-97,63.22517749999998,0.00047376060415864595,77.43346999999996,6.063702162672503e-13,-32.43244849999998,4.6197234654745444e-67
4,5,63.14,60.87505548271917,5.1299709015360175,25.430065295049886,60.87069199999997,0.9995262393952357,0.13927471000000022,1.250439989820575e-97,70.08100349999997,0.00047376060415864595,25.291504499999984,6.063702162672503e-13,33.06802300000002,4.6197234654745444e-67
5,5,63.52,68.41454379679224,23.95655449762897,25.430065295049886,68.42253750000005,0.9995262393952357,0.2987899499999998,1.250439989820575e-97,51.54966299999995,0.00047376060415864595,83.66554749999989,6.063702162672503e-13,32.04100049999995,4.6197234654745444e-67
6,5,62.74,63.3675361279867,0.393799485334252,25.430065295049886,63.38331999999995,0.9995262393952357,-0.3485075994999997,1.250439989820575e-97,30.067185500000033,0.00047376060415864595,56.26946700000004,6.063702162672503e-13,94.77024999999996,4.6197234654745444e-67
7,5,63.05,60.83978832683428,4.8850322676832185,25.430065295049886,60.83628875000008,0.9995262393952357,0.3600690399999995,1.250439989820575e-97,68.22309300000005,0.00047376060415864595,44.20711000000003,6.063702162672503e-13,21.745837500000004,4.6197234654745444e-67
8,5,63.2,78.17329519964426,224.19954628825505,25.430065295049886,78.17981499999998,0.9995262393952357,-0.08567841900000005,1.250439989820575e-97,64.41801149999996,0.00047376060415864595,53.08359299999997,6.063702162672503e-13,-28.16752199999998,4.6197234654745444e-67
9,5,62.89,37.434467615738875,647.9840978925193,25.430065295049886,37.42459950000005,0.9995262393952357,0.16133140600000018,1.250439989820575e-97,58.25392899999998,0.00047376060415864595,55.159590000000044,6.063702162672503e-13,39.887224000000046,4.6197234654745444e-67
