epoch,loss,val_loss
0,195.5636444091797,191.99578857421875
1,188.4841766357422,184.7893829345703
2,181.42140197753906,177.9306640625
3,174.72927856445312,171.43553161621094
4,168.40167236328125,165.29641723632812
5,162.45066833496094,159.56015014648438
6,156.79330444335938,153.8245849609375
7,150.28305053710938,146.63632202148438
8,143.68731689453125,140.69961547851562
9,138.0422821044922,135.15904235839844
10,132.7165069580078,130.1208038330078
11,127.74323272705078,125.25051879882812
12,123.0788345336914,120.75022888183594
13,118.83873748779297,116.49291229248047
14,114.68743896484375,112.4745864868164
15,110.79121398925781,108.66362762451172
16,107.12014770507812,105.07341003417969
17,103.71636962890625,101.76300811767578
18,100.64111328125,98.82301330566406
19,97.90184020996094,96.19110870361328
20,95.44956970214844,93.8224105834961
21,93.25775146484375,91.70187377929688
22,91.27325439453125,89.7989273071289
23,89.47701263427734,88.06105041503906
24,87.82811737060547,86.48407745361328
25,86.31963348388672,85.02249908447266
26,84.93416595458984,83.6885986328125
27,83.66145324707031,82.46732330322266
28,82.49171447753906,81.3437271118164
29,81.4071273803711,80.30560302734375
30,80.36896514892578,79.18814086914062
31,79.47111511230469,78.47307586669922
32,78.5929183959961,77.64827728271484
33,77.73916625976562,76.83856964111328
34,77.03433227539062,76.27814483642578
35,76.53801727294922,75.61557006835938
36,75.75989532470703,74.91610717773438
37,75.11090850830078,74.33010864257812
38,74.53944396972656,73.7286605834961
39,73.94437408447266,73.19019317626953
40,73.40776062011719,72.67224884033203
41,72.89838409423828,72.17018127441406
42,72.4182357788086,71.71399688720703
43,71.9664535522461,71.25460052490234
44,71.56884002685547,70.82820129394531
45,71.12232208251953,70.43489837646484
46,71.01544952392578,70.11949157714844
47,70.66285705566406,70.01102447509766
48,70.33334350585938,69.32483673095703
49,69.71207427978516,68.9979476928711
50,69.37549591064453,68.69135284423828
51,69.06507110595703,68.39586639404297
52,68.7751693725586,68.11933135986328
53,68.4999008178711,67.85734558105469
54,68.24243927001953,67.6102294921875
55,67.99757385253906,67.37272644042969
56,67.76466369628906,67.15377807617188
57,67.54288482666016,66.94705200195312
58,67.3321762084961,66.7478256225586
59,67.1324691772461,66.5626220703125
60,66.94525146484375,66.38690185546875
61,66.76786804199219,66.21721649169922
62,84.80332946777344,200.0
63,200.0,200.0
64,200.0,200.0
65,200.0,200.0
66,200.0,200.0
67,200.0,200.0
68,200.0,200.0
69,200.0,200.0
70,200.0,200.0
71,200.0,200.0
