epoch,loss,val_loss
0,194.6003875732422,185.06752014160156
1,186.8463592529297,172.92697143554688
2,178.3248291015625,159.3009796142578
3,168.18446350097656,144.22616577148438
4,156.71566772460938,128.68797302246094
5,145.70399475097656,118.79998779296875
6,138.9512176513672,118.55242156982422
7,135.40545654296875,121.77572631835938
8,132.7559814453125,126.07958221435547
9,130.39100646972656,130.03506469726562
10,128.9171905517578,133.32064819335938
11,128.1112518310547,135.80477905273438
12,127.75505828857422,137.70933532714844
13,127.59066009521484,138.5608367919922
14,127.48493957519531,139.2571563720703
15,127.48487091064453,139.6232147216797
16,127.46282958984375,139.64785766601562
