epoch,loss,val_loss
0,191.88589477539062,179.0985565185547
1,182.41622924804688,165.35218811035156
2,171.829833984375,149.61431884765625
3,159.44200134277344,132.91517639160156
4,148.01809692382812,122.78064727783203
5,139.92359924316406,120.291015625
6,135.3134307861328,121.47027587890625
7,129.92758178710938,120.93741607666016
8,125.67716979980469,123.14979553222656
9,123.43993377685547,126.54024505615234
10,120.29227447509766,123.52482604980469
11,116.66138458251953,124.11824798583984
12,115.68706512451172,125.62664031982422
13,115.24517059326172,126.65719604492188
14,114.93407440185547,127.4756088256836
15,114.70410919189453,128.06341552734375
