epoch,loss,val_loss
0,31897164.0,30905192.0
1,31385262.0,30376276.0
2,30849038.0,29837748.0
3,30310106.0,29300090.0
4,29768046.0,28758276.0
5,29222202.0,28212528.0
6,28674020.0,27668254.0
7,28125238.0,27119764.0
8,27574904.0,26572378.0
9,27022592.0,26024088.0
10,26469304.0,25476842.0
11,25919304.0,24934094.0
12,25370350.0,24388708.0
13,24825332.0,23850826.0
14,24280572.0,23310496.0
15,23740666.0,22780814.0
16,23207326.0,22256002.0
17,22680668.0,21740842.0
18,22162894.0,21233182.0
19,21654068.0,20732814.0
20,21155176.0,20242556.0
21,20660778.0,19761982.0
22,20179896.0,19293184.0
23,19716476.0,18838436.0
24,19256168.0,18393348.0
25,18814268.0,17962630.0
26,18455686.0,17549008.0
27,18003660.0,17144586.0
28,17588488.0,16758928.0
29,17199692.0,16385962.0
30,16823022.0,16024788.0
31,16456829.0,15681212.0
32,16114587.0,15354675.0
33,15786577.0,15040763.0
34,15474604.0,14741127.0
35,15172554.0,14455971.0
36,14888723.0,14186435.0
37,14620545.0,13950463.0
38,14371948.0,13688501.0
39,14126040.0,13464247.0
40,13899986.0,13251710.0
41,13690973.0,13055645.0
42,13494785.0,12874108.0
43,13313016.0,12705121.0
44,13144211.0,12547719.0
45,13011206.0,12405961.0
46,12861620.0,12269181.0
47,12721564.0,12147943.0
48,12595843.0,12037865.0
49,12480460.0,11934542.0
50,12378163.0,11842898.0
51,12294519.0,11764711.0
52,12206297.0,11684562.0
53,12140340.0,11623931.0
54,12068397.0,11560714.0
55,12006955.0,11514580.0
56,11954258.0,11458529.0
57,11953598.0,11437310.0
58,11903749.0,11400473.0
59,11853387.0,11370400.0
60,11820618.0,11346313.0
61,11794649.0,11326778.0
62,11769117.0,11309242.0
63,11753306.0,11294525.0
64,11734369.0,11282678.0
65,11720651.0,11272606.0
66,11711305.0,11265094.0
67,11700129.0,11258913.0
68,11698048.0,11253906.0
69,11688621.0,11249483.0
70,11680178.0,11246271.0
71,11676594.0,11237059.0
72,11675198.0,11237689.0
73,11658271.0,11215383.0
74,11632167.0,11197094.0
75,11632230.0,11184229.0
76,11580639.0,11212017.0
77,11606143.0,11675963.0
78,11622782.0,11221658.0
79,11639751.0,11213421.0
80,11577468.0,11093707.0
81,11435999.0,10980436.0
82,11419647.0,11046185.0
83,11397225.0,11088124.0
84,11389812.0,11078800.0
85,11361245.0,10936767.0
86,11297086.0,10914263.0
87,11274329.0,10914946.0
88,11250834.0,10846647.0
89,11225133.0,10662052.0
90,11215298.0,10778342.0
91,11454730.0,11242271.0
92,11706596.0,11236240.0
93,11702228.0,11239644.0
94,11692581.0,11244245.0
95,11689033.0,11234751.0
96,11657577.0,11190479.0
97,11592956.0,10970455.0
98,11334564.0,10854090.0
99,11302935.0,10927198.0
