epoch,loss,val_loss
0,22342.625,4716.39453125
1,21372.646484375,3720.894287109375
2,18828.134765625,2457.171875
3,15757.9794921875,1360.21044921875
4,12321.66796875,784.7613525390625
5,9031.1376953125,1261.1556396484375
6,6538.5537109375,2686.23779296875
7,5324.75244140625,4332.66845703125
8,4795.474609375,5400.76025390625
9,4511.87451171875,5863.54638671875
10,4522.06396484375,5958.66015625
11,4504.85595703125,6109.986328125
12,4516.47509765625,6272.3115234375
13,4475.96240234375,6295.40234375
14,4403.10009765625,6175.73681640625
