epoch,loss,val_loss
0,4475.50390625,4411.85546875
1,4418.625,4351.9072265625
2,4357.80224609375,4289.8935546875
3,4295.47265625,4226.498046875
4,4231.66162109375,4160.85791015625
5,4165.22021484375,4093.333251953125
6,4097.79345703125,4025.280029296875
7,4029.563232421875,3956.395263671875
8,3960.283447265625,3885.359375
9,3889.365234375,3814.885498046875
10,3819.829833984375,3743.509765625
11,3747.466064453125,3670.584716796875
12,3675.508056640625,3599.963623046875
13,3605.68701171875,3529.993896484375
14,3536.62109375,3461.6591796875
15,3468.86279296875,3398.0703125
16,3408.177734375,3339.833984375
17,3351.806396484375,3285.560791015625
18,3298.984130859375,3235.08544921875
19,3249.950927734375,3187.4326171875
20,3204.24267578125,3142.72412109375
21,3161.609375,3101.55126953125
22,3121.5791015625,3062.629638671875
23,3084.716064453125,3026.524169921875
24,3050.065673828125,2992.51904296875
25,3017.905517578125,2961.235595703125
26,2988.025146484375,2932.024658203125
27,2959.969482421875,2904.35205078125
28,2933.721923828125,2878.66748046875
29,2909.989013671875,2854.46728515625
30,2886.95361328125,2831.182861328125
31,2865.93212890625,2811.348876953125
32,2846.328369140625,2791.478515625
33,2846.09033203125,2777.9970703125
34,2814.11767578125,2759.996826171875
35,2796.65478515625,2745.314208984375
36,2780.5205078125,2730.422607421875
37,2767.199462890625,2717.147216796875
38,2752.441650390625,2701.146484375
39,2741.319580078125,2692.272705078125
40,2732.302490234375,2677.824951171875
41,2721.384765625,2668.706298828125
42,2712.058837890625,2664.35791015625
43,2707.30224609375,2657.5009765625
44,2698.53515625,2646.082275390625
45,2689.645263671875,2637.266845703125
46,2687.247314453125,2636.767333984375
47,2679.273681640625,2625.943359375
48,2671.675537109375,2618.308349609375
49,2670.1650390625,2614.092041015625
50,2659.4765625,2602.975341796875
51,2654.938232421875,2597.23974609375
52,2648.730224609375,2611.59130859375
53,2641.624755859375,2594.300048828125
54,2661.717041015625,2609.759765625
55,2662.429931640625,2606.8544921875
56,2650.8583984375,2587.80859375
57,2634.375,2574.8935546875
58,2630.674560546875,2576.77587890625
59,2629.9130859375,2575.4765625
60,2619.294921875,2566.07958984375
61,2617.02294921875,2573.79638671875
62,2616.88330078125,2563.94140625
63,2609.42041015625,2566.097412109375
64,2612.665283203125,2567.619384765625
65,2603.595703125,2554.093017578125
66,2572.1142578125,2574.6240234375
67,2610.405517578125,2595.57568359375
68,2644.621826171875,2595.44384765625
69,2641.633056640625,2594.359375
70,2641.358642578125,2595.258056640625
71,2637.337158203125,2594.5244140625
72,2596.336181640625,2584.25732421875
73,2647.3017578125,2596.199462890625
74,2645.462646484375,2595.25341796875
75,2643.0654296875,2595.21337890625
