,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
26,6.8968,6.6924,6.5714,6.5306,6.574,6.7253,7.0596,7.5938,8.2594,8.1774,7.9189,7.5953,7.1348,7.3246,7.4543,7.6211,7.933,7.8526,7.7673,7.573,7.3663,7.0609,6.9184,7.0774
27,6.7451,6.53,6.401,6.3712,6.4398,6.6053,6.918,7.4269,8.0547,8.0804,7.9491,7.6612,7.1705,7.3261,7.4066,7.5051,7.7695,7.8155,7.8405,7.6426,7.4114,7.091,6.9608,7.1251
28,6.8216,6.5756,6.4409,6.3971,6.4415,6.6037,6.9276,7.4179,8.0617,8.0698,7.939,7.7084,7.2747,7.5086,7.5721,7.5846,7.7153,7.5645,7.4947,7.3061,7.1066,6.8248,6.7078,6.8848
29,6.5727,6.3406,6.1914,6.1347,6.1382,6.2053,6.3132,6.4437,6.634,6.5588,6.557,6.4197,6.1002,6.1068,6.0734,6.108,6.2464,6.3239,6.4778,6.4357,6.3543,6.1999,6.185,6.3317
30,6.0243,5.7738,5.6259,5.5858,5.6199,5.694,5.7861,5.8175,5.8234,5.6832,5.6521,5.4661,5.2645,5.2538,5.2984,5.4708,5.7776,6.0847,6.369,6.3698,6.3191,6.218,6.237,6.2459
31,5.9736,5.7677,5.6634,5.6603,5.7523,5.9889,6.3931,7.0277,7.7225,7.6706,7.5453,7.2869,6.8814,7.0947,7.2177,7.3804,7.6973,7.785,7.795,7.5869,7.3494,7.0473,6.8796,7.0209
32,6.7085,6.4782,6.3449,6.3153,6.3819,6.5321,6.8668,7.3701,7.9114,7.7595,7.5749,7.2623,6.8304,6.9667,7.0373,7.1438,7.4391,7.5059,7.53,7.3646,7.1901,6.9341,6.7869,6.9387
33,6.5947,6.3684,6.2488,6.206,6.2517,6.3908,6.6808,7.1257,7.6269,7.5338,7.3473,7.03,6.6403,6.7396,6.7081,6.6521,6.6982,6.6143,6.7017,6.6317,6.5511,6.3838,6.2962,6.4221
34,6.1009,5.8357,5.6446,5.5543,5.5377,5.575,5.607,5.5634,5.4229,5.2072,5.1246,4.9951,4.9186,4.9002,4.9931,5.1269,5.3055,5.4836,5.6799,5.6936,5.6542,5.5733,5.6226,5.6776
35,5.4231,5.1733,5.0318,4.9784,4.9926,5.0789,5.1619,5.1959,5.019,4.5789,4.3264,4.1237,4.0134,3.972,4.0254,4.232,4.5879,4.9395,5.2477,5.3075,5.3261,5.3444,5.4192,5.4836
36,5.2184,5.0033,4.883,4.841,4.8751,4.9611,5.0609,5.0869,4.9523,4.6684,4.5923,4.4249,4.3073,4.2821,4.3324,4.5426,4.875,5.2258,5.5185,5.5686,5.5445,5.5013,5.5383,5.5519
37,5.2485,5.0084,4.885,4.8412,4.8682,4.958,5.0516,5.0881,5.1616,5.1897,5.2107,5.0934,5.0706,5.1759,5.2268,5.2862,5.4032,5.5514,5.7591,5.7687,5.7132,5.6275,5.6338,5.636
38,5.3355,5.1159,5.0077,4.9856,5.0704,5.2514,5.6169,6.1516,7.0552,7.4279,7.4829,7.324,6.8237,6.9233,6.9749,7.045,7.2392,7.344,7.4098,7.2598,7.0697,6.8235,6.6682,6.8072
