,BOLT,Median,INV,Mean
0,1.6781664982947733,1.692299532177607,1.7271643125759781,1.8818832003805674
1,1.656465865185608,1.6597549439726358,1.6934209066414405,1.791262059040465
2,1.666844639035852,1.6764817710429296,1.7103090263753093,1.8185501301105778
3,1.6495597903322723,1.6726794404765624,1.699119926136916,1.8372110166299829
4,1.6970755407947404,1.7197504409457698,1.748773078726939,1.9293816199478357
5,1.6791496488247404,1.6847084612451226,1.7185129832026096,1.8254691992060337
6,1.659910395640693,1.6805213219747255,1.7043691609070901,1.8437015410777906
7,1.6459922868065258,1.6504218395240668,1.6838389800141127,1.805127547771536
8,1.6642786601768038,1.685570445431584,1.7100291486450618,1.8383998896689837
9,1.6689392425386758,1.693266927511639,1.717354156812265,1.8722959667219627
10,1.7325117782084547,1.7275505993780467,1.81609717873261,1.9403459970061832
11,1.6642742351743203,1.6806214766154628,1.7127632953181358,1.8531663498987674
12,1.705586610821008,1.7039436485761585,1.8294433449953527,1.9205186748185235
13,1.6511976739106062,1.661270132605832,1.6914535894325247,1.8090290535847344
14,1.6742671175540798,1.6960022694026486,1.7253110636110025,1.874584791588162
15,1.660037398505758,1.6658677812802671,1.7007407726462973,1.7998585368610491
16,1.671603235463702,1.6893852522465678,1.7232620705437938,1.848254325479096
17,1.6659863023616108,1.6767603624750578,1.7121310759048078,1.8456825668383474
18,1.636463763664024,1.646363868951412,1.6715638506764259,1.7784172459961085
19,1.6502453589213797,1.6574909366708428,1.6899245366242859,1.809984311011674
20,1.6527368237545668,1.6712639286247986,1.6976888159607182,1.8074146798214017
21,1.6713795353770766,1.6898886914181372,1.7134778180505064,1.8339022644316973
22,1.6620579194086926,1.6787094402957297,1.7071756929665103,1.8518407999957454
23,1.652361258573304,1.6661715684277507,1.6932782865736753,1.8117977043339097
24,1.6514545797706979,1.6552566911890243,1.689746994484899,1.8031913986616463
25,1.6558878894485123,1.6536304084739493,1.696954183985309,1.806460641508466
26,1.6971478410703182,1.7234630385243772,1.749599370888096,1.8921569011736485
27,1.670854289352267,1.6872176957193818,1.7174865637303303,1.8639721524730852
28,1.6379514248207452,1.6385602258199634,1.6705330414727333,1.76778887790748
29,1.6801660313889997,1.7066972562463354,1.7340036195155462,1.9002306943231133
