,BOLT,Median,INV,Mean
0,1.3664286111091117,1.3902000162823034,1.431414859130794,1.561112452843333
1,1.3703429512805525,1.3920104366579344,1.436411975222235,1.57054538603409
2,1.364863151037334,1.3844884174480439,1.4295533689349598,1.571826055334612
3,1.3765987914613609,1.3996300646979398,1.4454101031596804,1.5875013919153562
4,1.3675308203892758,1.3938277195495643,1.43792103369302,1.5948293090612349
5,1.370054548508635,1.390902020775053,1.4363798153211746,1.5720408589001964
6,1.3687398457344357,1.3913872790966035,1.435451269136516,1.5694331300532247
7,1.36981752568393,1.393486975785169,1.4371283144925673,1.58853732001044
8,1.3704162271517086,1.395198769419102,1.4380137876158525,1.5722928586966742
9,1.3595875703870977,1.3818917353955085,1.4236770249437636,1.5553156682924067
10,1.3651633143794057,1.3867942747302007,1.433190374815582,1.567508921738488
11,1.3643793324342777,1.3883181292503628,1.4314144676853728,1.578719546948768
12,1.3713345805961892,1.3950831993404156,1.4395284316857253,1.5729982572461423
13,1.3690510970810663,1.3915215101511984,1.4368769089355962,1.5699649196335572
14,1.3688065046259736,1.3925721401424793,1.4361300089690772,1.5965296552471318
15,1.3681862905121325,1.3945422364138402,1.4369585310896444,1.5735056370421092
16,1.3680330259081108,1.3872166367444316,1.4314697489518005,1.5679104460529636
17,1.363443611476256,1.3860483477873948,1.4302004436282156,1.559963052193817
18,1.3705019694153855,1.3968886634717037,1.4423357756021076,1.6675925228685593
19,1.3730861571228952,1.3964488153751837,1.4415790869596392,1.6724269432932346
20,1.3666425663753397,1.391540291208614,1.4341727554017583,1.5686830084500223
21,1.3670956010591782,1.388431329293858,1.4307570443996211,1.5713471946685982
22,1.3663774629831262,1.3883948149462035,1.430843786165084,1.5588699447743282
23,1.3696515380038974,1.3974845986581474,1.4422792631999888,1.6064167031459085
24,1.3680224643526442,1.3876915552683553,1.4337651559902536,1.5757418501706815
25,1.3703834651491436,1.3918001974458598,1.4391360318575261,1.5951342606176546
26,1.3720585865207933,1.39755145880572,1.4402634284962832,1.5633658952834841
27,1.3735981686157908,1.3991530829971195,1.4458598488487144,1.6695380838301412
28,1.3682090686204642,1.3910886568566718,1.4330119499905694,1.5633821787932043
29,1.366399772722451,1.388504384474918,1.4336509096494094,1.569591814657404
