,,All Ens,All Ens,Exp(1),Exp(1),Exp(3),Exp(3),Exp(5),Exp(5)
,,RMSE,MAE,RMSE,MAE,RMSE,MAE,RMSE,MAE
dataset,model,,,,,,,,
TEM,trTFMLP,3.641 (0.0047),2.878 (0.0031),3.645 (0.0092),2.886 (0.0062),3.630 (0.0099),2.874 (0.0065),3.626 (0.0100),2.869 (0.0068)
SOL,trTFMLP,0.984 (0.0018),0.607 (0.0013),0.915 (0.0057),0.649 (0.0037),0.917 (0.0057),0.629 (0.0040),0.918 (0.0056),0.619 (0.0043)
ELE,trTFMLP,0.641 (0.0006),0.517 (0.0006),0.642 (0.0006),0.518 (0.0007),0.641 (0.0006),0.518 (0.0006),0.641 (0.0005),0.518 (0.0006)
AIR,trTFLSTM,6.871 (0.0118),5.324 (0.0182),6.839 (0.0138),5.308 (0.0183),6.821 (0.0171),5.304 (0.0188),6.813 (0.0194),5.300 (0.0198)
AIR,trTFMLP,6.636 (0.0099),5.120 (0.0132),6.619 (0.0135),5.114 (0.0215),6.614 (0.0089),5.089 (0.0124),6.614 (0.0091),5.073 (0.0115)
AIR,trTFTF,6.896 (0.0108),5.308 (0.0117),6.896 (0.0084),5.297 (0.0185),6.896 (0.0101),5.330 (0.0130),6.892 (0.0114),5.325 (0.0125)
WID,trTFMLP,1.669 (0.0012),1.255 (0.0011),1.678 (0.0114),1.258 (0.0032),1.677 (0.0126),1.258 (0.0035),1.676 (0.0138),1.258 (0.0038)
MET,trTFMLP,1.981 (0.0035),1.671 (0.0018),1.965 (0.0036),1.675 (0.0013),1.958 (0.0034),1.674 (0.0011),1.952 (0.0031),1.674 (0.0010)
coin,trTFMLP,3.643 (0.0029),1.392 (0.0044),3.634 (0.0024),1.382 (0.0037),3.632 (0.0024),1.369 (0.0033),3.632 (0.0024),1.368 (0.0033)
coin,trTFTF,3.857 (0.0144),1.680 (0.0225),3.839 (0.0099),1.667 (0.0205),3.825 (0.0091),1.645 (0.0137),3.821 (0.0098),1.640 (0.0137)
